d13C,CN,Age
-25.7,14.2,-57
-26.2,14.3,185
-27.2,20.7,421
-30.1,13.5,644.5
-29.4,19.9,856
-26.7,18.7,1254
-26.5,13.6,1638
-26.7,13,2031
-26.2,13.4,2456
-26.8,13.8,2914
-27.1,13,3375
-26,14.2,3821
-25.5,11.6,4242
-29.7,12,4440
-26.4,13.3,4629
-25.6,12.7,4807.5
-25.2,11.5,4974
-28.3,10.3,5126.5
-28.3,11.8,5389.5
-23.9,12.8,5500
-30.1,10.8,5598
-25.1,17.5,5765.5
-24.5,11.9,5838
-24.3,11.9,5906
-23.5,12.3,5969
-22.9,12.7,6087
-22.8,11.2,6196
-22.5,11.3,6303
-22.6,11.1,6410
-21.7,11.1,6517
-20.8,10.6,6730
-18.9,10.4,6837
-17.5,8.4,6943
-19.5,9.2,7050
-20.4,9.7,7157