Age,d13C,d15N
-50,-24.14,-0.53
-30,-24.35,0.6
-10,-23.71,0.44
10,-23.75,1.04
30,-24.31,1.08
50,-24.82,0.96
70,-24.83,1.21
90,-24.81,1.52
110,-24.95,1.28
130,-24.77,1.36
150,-25.05,1.63
170,-25.37,1.33
190,-25.31,1.42
210,-24.93,1.37
230,-24.8,1.39
250,-24.55,1.49
270,-25.04,1.43
290,-25.44,1.61
310,-25.55,1.82
330,-25.54,2.39
350,-25.08,2.89
370,-25,2.77
390,-24.79,3.12
410,-24.68,3.86
430,-24.8,3.71
450,-24.92,2.44
469,-25.17,1.91
489,-25.07,2.51
509,-25.05,2.06
529,-25.17,1.1
549,-25.39,1.75
569,-25.57,1.56
589,-25.68,1.34
609,-25.46,1.93
629,-25.15,1.68
649,-25.17,1.73
669,-25.53,3.16
689,-25.47,1.85
709,-25.79,2
729,-25.52,2.15
749,-25.74,2.37
769,-25.75,2.84
789,-25.9,2.55
809,-25.73,2.3
829,-25.71,1.91
849,-25.83,1.87
869,-25.66,1.76
889,-25.76,1.91
909,-25.63,1.78
929,-25.54,1.82
949,-25.61,1.44
969,-25.78,1.4
989,-25.63,1.45
1009,-25.75,2.21
1029,-25.61,2.36
1049,-25.1,1.76
1069,-25.23,2.48
1089,-24.99,3.76
1109,-24.38,2.85
1129,-24.59,3.09
1149,-24.63,2.44
1169,-25.05,2.6
1189,-25.63,3.94
1209,-25.67,3.08
1229,-25.22,3.65
1249,-25.55,3.33
1269,-26.01,2.01
1289,-25.55,2.06
1309,-24.81,2.13
1329,-25.11,1.69
1349,-24.96,1.42
1369,-25.41,1.63
1389,-25.25,2.46
1409,-25.08,2.01
1429,-25.49,2.71
1449,-25.38,2.34
1468,-25.63,2.98
1488,-26.08,1.65
1508,-26.03,1.01
1528,-25.8,1.54
1548,-26.1,2.15
1568,-25.91,2.53
1588,-26.15,2.65
1608,-25.61,2.53
1628,-25.68,2.4
1648,-25.58,2.92
1668,-25.76,3.59
1688,-25.03,4.15
1708,-25.64,3.19
1728,-25.61,2.71
1748,-25.99,2.74
1768,-25.72,2.33
1788,-25.67,1.68
1808,-25.71,2.06
1828,-25.78,2.16
1848,-25.62,1.79
1868,-25.44,1.57
1888,-25.57,1.72
1908,-25.52,1.75
1928,-25.77,1.68
1948,-24.99,1.48
1968,-25.7,1.57
1988,-25.51,1.44
2008,-25.4,1.38
2028,-25.95,1.8
2048,-25.78,1.75
2068,-26.11,2.96
2088,-25.91,2
2108,-25.63,1.46
2128,-25.81,1.5
2148,-25.87,1.72
2168,-25.86,1.87
2188,-25.74,1.5
2208,-26.08,1.86
2228,-25.95,1.82
2248,-25.84,2.33
2268,-26.11,2.27
2288,-26.09,1.91
2308,-26.02,1.98
2328,-25.86,1.82
2348,-25.37,1.49
2368,-25.87,1.65
2388,-25.78,1.61
2408,-25.63,1.67
2428,-25.98,1.45
2448,-25.5,1.54
2467,-25.56,1.33
2487,-25.52,1.5
2507,-25.52,1.77
2527,-25.48,1.73
2547,-25.46,2.01
2567,-25.61,1.66
2587,-25.73,1.63
2607,-26.2,1.34
2627,-26.2,1.53
2647,-25.78,1.43
2667,-25.73,1.53
2687,-26.08,1.41
2707,-25.84,1.21
2727,-25.76,1.46
2747,-25.9,0.96
2767,-26.05,1.48
2787,-25.92,1.37
2807,-25.81,1.03
2827,-26.54,1.21
2847,-26.41,0.98
2867,-26.75,0.88
2887,-25.84,0.85
2907,-25.44,0.54
2927,-25.67,0.4
2947,-25.83,0.25
2967,-26.07,0.78
2987,-25.88,0.78
3007,-24.74,1.05
3027,-24.89,1.14
3047,-25.21,0.49
3067,-25.99,1.53
3087,-26.24,1.91
3107,-25.82,1.65
3127,-25.45,0.97
3147,-25.72,0.77
3167,-24.86,0.57
3187,-25.14,0.73
3207,-24.71,0.43
3227,-25.69,0.8
3247,-25.68,0.95
3267,-25.75,0.43
3287,-25.57,0.74
3307,-25.16,0.32
3327,-25.54,0.56
3347,-24.92,0.44
3367,-25.28,1.03
3387,-25.36,0.79
3407,-25.57,0.6
3427,-25.72,1.37
3447,-26.05,1.36
3467,-26.58,3.03
3486,-26.28,3.18
3506,-25.85,2.23
3526,-25.37,0.28
3546,-25.21,0.65
3566,-25.17,0.39
3586,-24.58,0.97
3606,-24.72,1.79
3626,-25.14,1.14
3646,-25.58,0.7
3666,-25.96,0.9
3686,-25.84,1.3
3706,-25.12,1.15
3726,-24.92,1.2
3746,-25.16,1.09
3766,-25.81,1.26
3786,-25.7,1.04
3806,-25.7,1.22
3826,-25.55,0.67
3846,-25.16,0.86
3866,-25.28,0.89
3886,-25.83,0.86
3906,-25.76,0.64
3926,-25.62,0.8
3946,-26.11,0.88
3966,-26.01,0.57
3986,-25.85,0.69
4006,-25.74,0.95
4026,-25.59,0.77
4046,-25.62,0.8
4066,-25.49,0.95
4086,-25.52,0.8
4106,-25.77,0.81
4126,-25.73,1.14
4146,-25.56,0.69
4166,-25.98,0.77
4186,-25.48,1
4206,-24.06,1.51
4226,-24.04,1.43
4246,-24.34,0.67
4266,-24.57,0.86
4286,-24.84,0.82
4306,-24.23,0.46
4326,-24.53,0.42
4346,-24.02,0.69
4366,-23.88,0.38
4386,-24.26,0.73
4406,-24.07,0.77
4426,-25.45,-0.06
4446,-24.49,0.44
4466,-24.87,0.53
4485,-24.62,0.19
4505,-24.12,0.29
4525,-24.53,-0.17
4545,-23.81,0
4565,-24.06,0.21
4585,-23.78,0.23
4605,-23.6,0.19
4625,-23.54,0.09
4645,-24.05,0.07
4665,-23.91,0.24
4685,-24.29,0.12
4705,-24.01,0.1
4725,-23.41,0.06
4745,-22.99,-0.33
4765,-23.52,-0.13
4785,-23.8,0.17
4805,-23.54,0.15
4825,-23.69,0.46
4845,-24.1,0.25
4865,-23.96,0.48
4885,-23.84,0.53
4905,-24.34,0.18
4925,-24.4,0.16
4945,-24.47,0.3
4965,-24.49,0.03
4985,-24.83,0.2
5005,-24.75,0.31
5025,-24.75,0.19
5045,-24.81,0.46
5065,-24.75,0.41
5085,-24.48,0.27
5105,-24.12,0.18
5125,-24.35,0.13
5145,-24.7,0.59
5165,-24.61,0.48
5185,-24.98,0.44
5205,-25.06,0.65
5225,-24.78,0.63
5245,-24.78,0.44
5265,-24.65,0.55
5285,-24.77,0.92
5305,-24.79,0.97
5325,-24.95,0.81
5345,-25.11,0.93
5365,-24.55,0.95
5385,-24.52,0.86
5405,-24.31,1.51
5425,-24.33,1.5
5445,-24.27,1.57
5465,-25.27,1.59
5484,-25.36,1.49
5504,-25.09,1.51
5524,-24.81,1.48
5544,-23.92,1.63
5564,-23.72,1.86
5584,-23.82,1.84
5604,-23.78,1.7
5624,-24.21,1.89
5644,-24.71,2.04
5664,-24.43,1.64
5684,-23.7,1.69
5704,-24.19,1.74
5724,-24.58,1.95
5744,-24.13,2.39
5764,-24.37,2.37
5784,-25.1,2.03
5804,-25.93,1.21
5824,-25.34,1.25
5844,-23.86,1.86
5864,-23.94,1.55
5884,-23.88,1.31
5904,-23.63,1.46
5924,-23.55,1.81
5944,-24.44,1.75
5964,-24.69,1.54
5984,-24.31,1.7
6004,-24.63,1.92
6024,-24.09,1.65
6044,-23.83,1.68
6064,-24.1,1.84
6084,-24.28,1.85
6104,-24.12,1.84
6124,-23.86,1.71
6144,-23.99,1.83
6164,-24.48,2.13
6184,-24.92,2.33
6204,-24.33,2.63
6224,-24.55,2.19
6244,-24.56,2.17
6264,-24.32,2.31
6284,-24.48,2.22
6304,-24.75,2.03
6324,-24.85,1.88
6344,-25.46,1.63
6364,-26.23,2.27
6384,-26.42,2.93
6404,-26.09,3.26
6424,-25.59,3.19
6444,-25.07,3.08
6464,-24.56,2.98
6483,-24.12,2.95
6503,-24.18,3.38
6523,-24.16,3.4
6543,-23.9,2.83
6563,-23.52,2.76
6583,-23.14,2.91
6603,-22.9,3.28
6623,-22.99,3.37
6643,-23.38,3.18
6663,-23.63,3.35
6683,-23.77,3.62
6703,-23.56,3.17
6723,-23.26,2.61
6743,-23.21,2.81
6763,-23.22,3.15
6783,-23.46,3.17
6803,-23.71,3.13
6823,-23.48,3.3
6843,-23.09,3.53
6863,-22.99,3.37
6883,-23.1,2.96
6903,-23.22,2.78
6923,-23.36,3.03
6943,-23.48,3.28
6963,-23.37,3.28
6983,-23.2,3.22
7003,-23.32,3.21
7023,-23.86,3.29
7043,-24.38,3.37
7063,-24.42,3.43
7083,-24.25,3.48
7103,-24.08,3.54
7123,-23.92,3.59
7143,-23.75,3.65
7163,-23.6,3.65
7183,-23.53,3.37
7203,-23.47,3.06
7223,-23.45,2.83
7243,-23.6,3.06
7263,-23.78,3.35
7283,-23.95,3.62
7303,-23.99,3.7
7323,-23.98,3.73
7343,-23.97,3.76
7363,-23.86,3.74
7383,-23.62,3.68
7403,-23.39,3.62
7423,-23.18,3.55
7443,-23.18,3.43
7463,-23.2,3.29
7483,-23.23,3.16
7502,-23.33,3.12
7522,-23.58,3.27
7542,-23.82,3.43
7562,-24.07,3.58
7582,-24.07,3.72
7602,-23.8,3.85
7622,-23.53,3.97
7642,-23.26,4.1
7662,-23.13,4.1
7682,-23.21,3.93
7702,-23.29,3.77
7722,-23.37,3.6
7742,-23.42,3.46
7762,-23.4,3.39
7782,-23.37,3.34
7802,-23.34,3.28
7822,-23.33,3.23
7842,-23.77,3.32
7862,-24.41,3.47
7882,-24.68,3.57
7902,-23.9,3.17
7922,-23.68,3.84
7942,-25.96,5.26
7962,-24.96,5.23
7982,-25.53,4.74
8002,-24.69,6.12