d13C,d15N,Age,
-25.7,3.6,-57,
-26.2,2.1,185,
-27.2,3.5,421,
-30.1,2.3,644.5,
-29.4,2.4,856,
-26.7,2.1,1254,
-26.5,2.5,1638,
-26.7,2.4,2031,
-26.2,2.5,2456,
-26.8,2.4,2914,
-27.1,2.5,3375,
-26,2.3,3821,
-25.5,2.2,4242,
-29.7,2.4,4440,
-26.4,1.6,4629,
-25.6,2.4,4807.5,
-25.2,2.8,4974,
-28.3,1,5126.5,
-28.3,2.8,5389.5,
-23.9,2.4,5500,
-30.1,2.4,5598,
-25.1,3,5765.5,
-24.5,2.6,5838,
-24.3,2.7,5906,
-23.5,2.5,5969,
-22.9,2.4,6087,
-22.8,2.7,6196,
-22.5,2.5,6303,
-22.6,2.6,6410,
-21.7,2.7,6517,
-20.8,2.7,6730,
-18.9,2.2,6837,
-17.5,4.8,6943,
-19.5,5.2,7050,
-20.4,3,7157,